timestamp	model	total_tokens	input_tokens	prompt_len	img_pixels	audio_sec	output_tokens	temperature	top_p	top_k	system_instruction	prompt	response
2025-06-04 09:22:00	gemini-2.0-flash	1958	1898	18	274134	0.0	60	0.7	0.95	50.0	You are a fabric expert. Your job is to analyze the image of clothing and provide a detailed description of its style, color, and any other relevant details within 1-2 sentences. parse the output as JSON with the following structure: {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}}. If the image does not contain clothing or is ambiguous, state as is in the description field.	Analyze the image.	{"description": "Here is an image of a person in a graduation gown and cap, which appear to be made of polyester and satin. The gown is black, while the sash is golden.", "fabrics": {"polyester": 0.9, "satin": 0.8}} 
2025-06-04 10:44:24	gemini-2.0-flash-lite	422	350	18	50176	0.0	72	0.7	0.95	50.0	You are a fabric expert. Your job is to analyze the image of clothing and provide a detailed description of its style, color, and any other relevant details within 1-2 sentences. parse the output as JSON with the following structure: {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}}. If the image does not contain clothing or is ambiguous, state as is in the description field.	Analyze the image.	```json {   "description": "The image shows a graduate in a black graduation gown with a gold sash and cap. The gown appears to be made of a matte fabric.",   "fabrics": {     "polyester": 0.8,     "satin": 0.6   } } ```
2025-06-04 10:47:01	gemini-2.0-flash	411	350	18	50176	0.0	61	0.7	0.95	50.0	You are a fabric expert. Your job is to analyze the image of clothing and provide a detailed description of its style, color, and any other relevant details within 1-2 sentences. parse the output as JSON with the following structure: {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}}. If the image does not contain clothing or is ambiguous, state as is in the description field.	Analyze the image.	```json {"description": "The image shows a person in a graduation gown and cap, holding a diploma; the gown is black with gold accents, suggesting an academic or ceremonial setting.", "fabrics": {"polyester": 0.7, "satin": 0.3}} ```
2025-06-04 12:31:36	gemini-2.0-flash	411	350	18	361	0.0	61	0.7	0.95	50.0	You are a fabric expert. Your job is to analyze the image of clothing and provide a detailed description of its style, color, and any other relevant details within 1-2 sentences. parse the output as JSON with the following structure: {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}}. If the image does not contain clothing or is ambiguous, state as is in the description field.	Analyze the image.	```json {"description": "The image depicts a person wearing a dark-colored jacket, possibly made of a sturdy material, and a hat. The jacket appears to be a casual style.", "fabrics": {"denim": 0.4, "cotton": 0.3}} ```
2025-06-04 12:34:11	gemini-2.0-flash	416	350	18	147456	0.0	66	0.7	0.95	50.0	You are a fabric expert. Your job is to analyze the image of clothing and provide a detailed description of its style, color, and any other relevant details within 1-2 sentences. parse the output as JSON with the following structure: {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}}. If the image does not contain clothing or is ambiguous, state as is in the description field.	Analyze the image.	{"description": "The image shows a graduate wearing a black graduation gown with gold accents and holding a diploma, indicating a formal academic achievement. The fabric appears to be a blend of polyester and satin, typical for graduation attire.", "fabrics": {"polyester": 0.7, "satin": 0.6}}
2025-06-04 13:12:48	gemini-1.5-flash	413	346	7	147456	0.0	67	0.7	0.95	50.0	You are a fashion designer. Your job is to detect the fabrics with confidence scores and provide a detailed description of the clothing's shape, color, and texture in 1-2 sentences. Format your output as {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}} If the image does not contain clothing or seems ambiguous, state as is in the description field with no detect fabric.	Analyze	```json {'description': 'The image shows a person wearing a black graduation gown with gold accents. The gown is long-sleeved, and the person is holding a diploma. The fabric appears to be a matte, possibly polyester or a similar material.', 'fabrics': {'Polyester': 0.8}} ``` 
2025-06-04 13:17:29	gemini-2.0-flash-lite	434	347	7	147456	0.0	87	0.7	0.95	10.0	You are a fashion designer. Your job is to detect the fabrics with confidence scores and provide a detailed description of the clothing's shape, color, and texture in 1-2 sentences. Format your output as {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}}, Start with { and end with }. In case the image does not contain clothing, state as is with no detected fabric.	Analyze	```json {   'description': 'The person is wearing a black graduation gown with gold accents, a square academic cap, and a golden tassel. The gown has a smooth, slightly shiny texture, and the gold elements add a touch of elegance.',   'fabrics': {     'polyester': 0.85,     'silk': 0.7   } } ```
2025-06-04 13:21:34	gemini-2.5-flash-preview-05-20	832	345	7	147456	0.0	67	0.7	0.95	10.0	You are a fashion designer. Your job is to detect the fabrics with confidence scores and provide a detailed description only on the clothing's shape, color, and texture in 1-2 sentences. Strictly follow this output format - {'description': 'description of image', 'fabrics': {'fabric_name': confidence_score}}, In case the image does not contain clothing, state as is with no detected fabric.	Analyze	{'description': 'The individual is wearing a black graduation gown with a loose, flowing shape and a matching square cap. A smooth, shiny gold stole drapes around the neck, adding a contrasting color and texture.', 'fabrics': {'polyester': 0.95, 'satin': 0.85}}
2025-06-04 13:30:37	gemini-1.5-flash-8b	394	362	7	147456	0.0	32	0.7	0.95	10.0	You are a fashion designer. Your job is to detect the fabrics with confidence scores and provide a detailed description of the clothing's shape, color, and texture in 1-2 sentences. Strictly follow this output format - {"description": "description of image", "fabrics": {"fabric_name": confidence_score}}, Let the subject of description be the clothing. If image does not contain clothing, state as is in description and detect no fabric.  	Analyze	```json {"description": "A man wearing a graduation gown and cap.", "fabrics": {"Polyester": 0.95}} ``` 
2025-06-04 13:39:55	gemini-2.0-flash-lite	419	362	7	147456	0.0	57	0.7	0.95	10.0	You are a fashion designer. Your job is to detect the fabrics with confidence scores and provide a detailed description of the clothing's shape, color, and texture in 1-2 sentences. Strictly follow this output format - {"description": "description of image", "fabrics": {"fabric_name": confidence_score}}, Let the subject of description be the clothing. If image does not contain clothing, state as is in description and detect no fabric.  	Analyze 	```json {"description": "The graduation gown is a deep navy with gold accents, featuring a square academic cap. The gown's fabric has a smooth texture.", "fabrics": {"satin": 0.85, "silk": 0.7}} ```
2025-06-04 14:18:46	gemini-2.0-flash-lite	389	353	7	147456	0.0	36	0.7	0.95	10.0	You are a fashion designer. Your job is to detect the fabrics with confidence scores and provide a detailed description of the clothing's design, shape, color, and texture in 1-2 sentences. Strictly follow this output format - {"description": "description of image", "fabrics": {"fabric_name": confidence_score}}Let the subject of description be the clothing. If image does not contain clothing, state as is in description and detect no fabric.	Analyze	{"description": "The image shows graduation gowns in black with gold and blue accents, featuring a formal and traditional design with a focus on academic achievement.", "fabrics": {}}
